1960	[]
1961	[]
1962	[]
1963	34347096771,75549117235,75449141508
1964	34250965736,84940798155,76549159123,76549157297,75949152254,50549217416,34548477181,28744440065,13044285490,0042208914,0005770878
1965	36149008687,0013856909,0013826790,34250574962,50549213922,0013842778,9244264907,84994969862,84984083940,84964174790,84941326542,84941325175,84930555108,84907132050,84907129453,84907107924,84907038552,78651184922,76549221010,76549220435,76549178870,76549178330,76549175029,76549174789,76549163319,58149227107,36849132591,36849124182,34347103796,33646287430,2642707302,24944468060,1542706695,0043166219,0040654180,0013841124,0013837146,0013836475,0013835596,0013835595,0013834767,0013832905,0013830633,0013830084,0013826607,0013824473,0013814016,0013803655,0013793154,0006510579,0005552443,0004916094,0004450336
1967	30444444153,0014210570,0014189665,0014180338,0014164578,0014201094,34250513044,0014206557,0014193219,0014124041,0014206038,0014205948,0014180988,0014165174,0014159278,0014092709,0014087060,0014070769,34250518243,49949140507,0005040820,84989992836,84982069386,84981827159,84981808365,84980113768,84980110611,84980110451,84980109958,84946456259,84942736534,84941844513,84941329706,84907133409,84907040466,84906562674,49949149286,49949141275,49949140660,49449116167,25744457005,0343853205,0242418019,0014189287,0014188469,0014188241,0014187082,0014186619,0014179189,0014178001,0014176544,0014173788,0014172140,0014172073,0014170808,0014170454,0014169780,0014167376,0014159918,0014148032,0014145907,0014145874,0014138773,0014119356,0014119344,0014119343,0014119337,0014119335,0014119019,0014118772,0014118516,0014116395,0014108351,0014106069,0014103204,0014098463,0014097015,0014093826,0014093323,0014076726,0014075702,0014074599,0014073187,0014071474,0014068188,0014065952,0014056666,0014056276,0014054111,0014053515,0014047574,0014043520,0014043428,0014039841,0014039433,0014038737,0014034593,0014033802,0014033796
1970	37049117566,0014964060,0014927322,0014925946,0014911044,0014910772,0014907339,0014726741,0014725980,0014720916,0014720699,0014710829,0014961076,0014953368,0014953340,0014941907,58149412099,0014915228,0014863019,0014860157,0003431560,0014932581,0014945119,0014945071,0342955327,0014917964,0014807822,0014938032,0014933284,0014932202,34250494992,0014772979,0014939205,0014946694,0014728185,0014715882,0014702769,50849151429,0014744155,84987520636,84984147938,84984135734,84984120004,84984117487,84984100101,84984092397,84982488517,84982481964,84981368487,84977736030,84977718380,84977700216,84976176842,84953046374,84943975675,84931334459,84916069992,84914018918,84907110175,84907109400,84907108709,84907105902,84907105171,49849114489,49849112414,49849107264,4243257407,35949043521,35949043426,34250484745,18144400030,12644251331,0347878945,0345808788,0344749184,0014921292,0014921272,0014921041,0014919619,0014918520,0014917953,0014917750,0014915941,0014912160,0014910176,0014908917,0014908792,0014902472,0014895945,0014891713,0014890651,0014890203,0014887609,0014886185,0014880016,0014868139,0014866576,0014859063,0014856958,0014851484,0014843319,0014839035,0014838127,0014831169,0014829308,0014828329,0014822995,0014819163,0014816370,0014815702,0014806939,0014806704,0014804208,0014788055,0014782095,0014772698,0014760128,0014757719,0014755137,0014750397,0014750355,0014743719,0014733761,0014727732,0014727702,0014726329,0014725512,0014724942,0014723789,0014723551,0014723207,0014722699,0014718889,0014718522,0014718178,0014717724,0014716308,0014715252,0011502589
1966	49949141459,36949051552,36949048016,0040388535,0014018988,0014012158,84995189189,84995182380,84995182058,84990001054,84990000979,84989998049,84989997350,84989995464,84989995288,84989992767,84989992144,84989990995,84989990608,84979104477,84946455119,84907111204,84907110624,0013994354,0013983349,0013981034,0013977985,0013976665,0013957619,0013955979,0013953578,0013953335,0013951767,0013947314,0013946582,0013942221,0013939737,0013933648,0013921781,0013916753,0013916412,0013915247,0013914452,0013910333,0013899566,0013888281,0013883977,0013875621,0013873893,0013870198,0013862040,0000427104
1978	0018237263,0000655895,36749116496,25744472197,0040049975,0018357324,0018278657,0018253017,0018241814,0018234102,0018187258,0018184560,0018181868,0018173346,0018170147,0018165594,0018165498,0018165001,0018150214,0018144703,0018144686,0018136864,0018128361,0018102297,0018098598,0018087724,0018073817,0018073524,0017942287,0007083477,0018092838,0004659929,0018087394,0018226343,0942303326,0018247938,0000841868,0018078695,0018134963,4644290928,25344451886,0018198433,0018165143,0000105184,0018084861,84956110533,0001571085,0000852910,0346550388,0017899272,0018259771,77951511559,49349134753,0017978610,0017897763,0018148062,69749112815,0017872116,0012941957,0342554124,10144229156,0018100115,0017839879,0018265910,0017904010,0017813725,0018271957,0017873392,49349138706,49349136868,85005576373,84987055062,84986792430,84983994070,84982513005,84981655716,84981655708,84981655134,84981636780,84981636027,84981632134,84981598881,84981594105,84981580044,84981566004,84974380128,84972499986,84970160518,84969482609,84965916813,84951601886,84949356300,84945772539,84907106878,84907106079,70350676215,66749181308,49349136109,49349134171,49349127784,49349125485,36749120933,36749109702,34548720649,25944457217,17344394199,12444341431,0042683041,0040502755,0040447652,0037922378,0018372252,0018264855,0018263012,0018262984,0018262063,0018257487,0018253116,0018250646,0018250278,0018248415,0018247884,0018246989,0018243279,0018243105,0018238107,0018231561,0018227110,0018226550,0018222595,0018221271,0018219932,0018216102,0018214782,0018214519,0018199753,0018198917,0018192530,0018191796,0018191013,0018189241,0018188854,0018187374,0018187068,0018185549,0018183961,0018183090,0018182809,0018180309,0018179688,0018176969,0018172480,0018167408,0018167389,0018165579,0018163934,0018161153,0018161005,0018159261,0018154871,0018153020,0018150828,0018149767,0018149468,0018149071,0018148665,0018148499,0018145187,0018142972,0018142631,0018141635,0018138998,0018138642,0018138391,0018137110,0018137105,0018135691,0018135226,0018135004,0018134638,0018132493,0018120286,0018119805,0018116048,0018114256,0018114243,0018109030,0018103950,0018103923,0018102902,0018101247,0018093424,0018093193,0018090537,0018090525,0018090244,0018088458,0018088248,0018088066,0018087822,0018086198,0018086174,0018086068,0018080196,0018076762,0018076293,0018075696,0018073428,0018071968,0018070019,0018069302,0018069238,0018068455,0018066802,0018039795,0018036096,0018033305,0018032164,0018024804,0017981921,0017970159,0017955651,0017950169,0017937301,0017932809,0017927067,0017926869,0017919192,0017918721,0017904094,0017903357,0017902431,0017896106,0017893847,0017893336,0017890637,0017888153,0017887966,0017886709,0017886359,0017885181,0017884789,0017877728,0017877105,0017875984,0017873519,0017865174,0017865169,0017864461,0017863128,0017862605,0017860879,0017858539,0017857324,0017856159,0017853690,0017853439,0017848696,0017847432,0017847135,0017846731,0017846089,0017846069,0017845785,0017845295,0017843411,0017843135,0017839732,0017838714,0017838419,0017836310,0017836257,0017835954,0017832782,0017820650,0017813812,0017813673,0017808820,0017806598,0017804551,0017803015,0017802620,0017800590,0017800568,0017797563,0017797052,0017795986,0017795983,0017639252,0012349110,0011505689,0007148785,0006267805,0002939563,0002932890,0001041728,0000991515,0000846448
